Filename	Metal_coord	Biting_Atom_1	Biting_Atom_2	Smiles_Regen
022_lig.log	[-0.101343, -1.075998, 0.174725]	3	12	CC(C)(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](C(C)(C)C)CO1
023_lig.log	[-0.158969, -1.261677, 0.37329]	7	8	CC(C)(C1=NCCO1)C1=N[C@@H](C(C)(C)C)CO1
024_lig.log	[0.371733, -0.788155, -0.762339]	3	16	CC(C)(C1=N[C@H]2c3ccccc3C[C@H]2O1)C1=N[C@H]2c3ccccc3C[C@H]2O1
025_lig.log	[-0.804232, -1.343927, 0.444745]	3	7	CC(C)(C1=NCCO1)C1=N[C@H]2c3ccccc3C[C@H]2O1
026_lig.log	[0.001127, -1.273617, -0.000174]	6	7	C[C@H]1COC(C(C)(C)C2=N[C@@H](C)CO2)=N1
027_lig.log	[-0.000574, 1.889988, -0.00028]	3	18	C[C@@H]1N=C(C(C)(C)C2=N[C@@H](C)[C@@H](c3ccccc3)O2)O[C@@H]1c1ccccc1
028_lig.log	[0.372478, -0.500295, -0.962377]	3	14	CC(C)(C1=N[C@@](C)(c2ccccc2)CO1)C1=N[C@@](C)(c2ccccc2)CO1
029_lig.log	[0.525152, -1.260407, -0.445941]	3	14	CC(C)(C1=NCCO1)C1=N[C@@](C)(c2ccccc2)CO1
030_lig.log	[0.463385, -1.170571, -0.19362]	6	7	C[C@H]1COC(C(C)(C)C2=N[C@@](C)(c3ccccc3)CO2)=N1
031_lig.log	[-0.002615, -0.950213, -0.013922]	3	14	CN(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](c2ccccc2)CO1
032_lig.log	[-0.005005, -1.08976, -0.006923]	7	8	CC(C)[C@H]1COC(N(C)C2=N[C@@H](C(C)C)CO2)=N1
033_lig.log	[-0.003656, -1.083321, -0.005197]	3	12	CN(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1
034_lig.log	[-0.359321, -1.260104, 0.345564]	3	7	CN(C1=NCCO1)C1=N[C@@H](C(C)(C)C)CO1
035_lig.log	[-0.245333, -1.088655, 0.41617]	3	9	CN(C1=N[C@@H](C(C)(C)C)CO1)C1=NC(C)(C)CO1
036_lig.log	[-1.310457, 1.231677, 0.288119]	7	8	CC(C)(C)[C@H]1COC(N(Cc2ccccc2)C2=N[C@@H](C(C)(C)C)CO2)=N1
