Model,n_terms,R^2,Q^2,adj_score,fin_score
"('f2chi', 'fbonhq2', 'hosoya')",3,0.7590037551973767,0.6866423021353264,0.6541541938723133,0.731807083636693
"('2chi', 'd1chi', 'onhr')",3,0.7736547809842612,0.6736761657519891,0.6541099269877997,0.7490523742848845
"('1chi', '2chiv', 'onhr')",3,0.7755741415777668,0.6652832021597599,0.6540968012913562,0.7529165458663413
"('bonh3', 'f2chi', 'fbonhq2')",3,0.7693388618143058,0.6851569956781287,0.6538502524709437,0.7433403483425713
"('2chiv', 'd1chi', 'onhr')",3,0.7727521921451624,0.6598725627522366,0.6535149128800537,0.7503329659950593
"('2chiv', '3chi', 'oq1')",3,0.7851791547725826,0.688427331565274,0.6534839372251717,0.7603855336008887
"('f2chiv', 'k_phial', 'o8')",3,0.7709153085581038,0.5916466737157102,0.6534566450686312,0.7452747651530793
"('crest_flex', 'f2k', 'fbonhq2')",3,0.7729414715690632,0.6897334907874928,0.6534001515182367,0.747009696319793
"('f2chiv', 'fbonhq2', 'homo')",3,0.7606105621933148,0.6868613819574878,0.6532944645946381,0.7433751772076597
"('f2chi', 'fbonhq2', 'onh3')",3,0.7578546015368861,0.6907059233679222,0.6532505722708877,0.7305610919165226
"('4chi', 'f2chi', 'fbonhq2')",3,0.7637133101402225,0.6845623023130996,0.6532005127755532,0.7371363592032834
"('1chi', 'f2chi', 'fbonhq2')",3,0.7621718228608525,0.6854077389924855,0.6530569724034391,0.7354275056572828
"('bonh4', 'f2chi', 'fbonhh1')",3,0.7624548388848105,0.6877921833007985,0.6530446665277001,0.7353511149524803
"('bonh4', 'f2chi', 'fbonhh4')",3,0.7624548388848101,0.6877921833007978,0.6530446665276995,0.73535111495248
"('2chiv', 'kier_al', 'onhq1')",3,0.7784347491415217,0.6852873504552012,0.6529846081955378,0.7534402264390079
"('2chiv', 'bonhr', 'f0chiv')",3,0.7769680447795224,0.6739834655711234,0.6527334259705837,0.757560951140439
"('f2chi', 'fbonhq2', 's1chi')",3,0.762471354574652,0.6849100947084856,0.6526872855931427,0.7357310413847448
"('2chiv', 'bonhr', 'd4chi')",3,0.7739705465586681,0.6479512241730214,0.6526252701783329,0.7548702422245656
"('2chiv', 'd3chi', 'onhq1')",3,0.7813141339463404,0.6862978506525899,0.6525435023891419,0.7563913144756647
"('1chiv', 'f2chi', 'fbonhq2')",3,0.7627890255305759,0.6843215657671826,0.6525084715748128,0.7360894586972495
"('b_vol_nh', 'f2chi', 'fbonhq2')",3,0.7566714399528389,0.5162264677062123,0.652425591331312,0.7303310256374732
"('f1ka', 'f2chi', 'fbonhq2')",3,0.7658726572062315,0.6836974674968188,0.6523282327416592,0.7394043861552133
"('bonh_t', 'f2chi', 'fbonhq2')",3,0.7566997241629494,0.5160133050060227,0.6523168843769807,0.7303859432920969
